"Timestamp","Trajectory_LeftLeg_Joint6","Trajectory_LeftLeg_Joint5","Trajectory_LeftLeg_Joint4","Trajectory_LeftLeg_Joint3","Trajectory_LeftLeg_Joint2","Trajectory_LeftLeg_Joint1","Trajectory_RightLeg_Joint1","Trajectory_RightLeg_Joint2","Trajectory_RightLeg_Joint3","Trajectory_RightLeg_Joint4","Trajectory_RightLeg_Joint5","Trajectory_RightLeg_Joint6","Trajectory_Torso_Joint1","Trajectory_Torso_Joint2","Trajectory_LeftArm_Joint3","Trajectory_RightArm_Joint3","Actual_LeftFootX","Actual_LeftFootY","Actual_LeftFootZ","Actual_RightFootX","Actual_RightFootY","Actual_RightFootZ","Target_LeftFootX","Target_LeftFootY","Target_LeftFootZ","Target_RightFootX","Target_RightFootY","Target_RightFootZ","Target_CoMX","Target_CoMY","Target_CoMZ","Actual_CoMX","Actual_CoMY","Actual_CoMZ"
0.049,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-1.57546,-2.15019,0.257381,172.959,-3.51971,0.398327,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.4026,-21.6334,889.921
0.05,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-1.61776,-2.16878,0.268576,172.992,-3.53451,0.404016,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.3644,-21.6444,889.806
0.051,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-1.64693,-2.15141,0.294519,173.025,-3.54337,0.424967,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.3287,-21.6526,889.705
0.052,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-1.67694,-2.13592,0.317706,173.063,-3.54518,0.451639,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.2952,-21.6583,889.608
0.053,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-1.70679,-2.1212,0.337594,173.109,-3.53922,0.479984,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.264,-21.6616,889.51
0.054,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-1.73643,-2.10683,0.356313,173.163,-3.52513,0.508537,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.2352,-21.6623,889.41
0.055,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-1.76744,-2.09924,0.374811,173.225,-3.50284,0.537102,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.2089,-21.6604,889.307
0.056,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-1.79791,-2.09218,0.394513,173.296,-3.47254,0.565781,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.1851,-21.6561,889.202
0.057,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-1.82542,-2.07854,0.416565,173.374,-3.43458,0.594713,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.1637,-21.6494,889.094
0.058,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-1.85162,-2.06295,0.440135,173.461,-3.38937,0.623993,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.1447,-21.6404,888.985
